Subject Area,Count
Chemistry (all),115
Electrical and Electronic Engineering,115
Organic Chemistry,94
Condensed Matter Physics,92
Biochemistry,91
Materials Science (all),88
Sustainability and the Environment,84
Renewable Energy,84
Infectious Diseases,83
Computer Science Applications,82
Materials Chemistry,81
Polymers and Plastics,80
Energy Engineering and Power Technology,79
Physical and Theoretical Chemistry,75
Analytical Chemistry,72
Computer Networks and Communications,70
Public Health,69
Environmental and Occupational Health,69
Artificial Intelligence,69
Chemical Engineering (all),68
Fuel Technology,65
Pollution,65
Mechanics of Materials,65
Waste Management and Disposal,61
Molecular Biology,59
Instrumentation,57
Environmental Engineering,55
Immunology,54
Molecular Medicine,54
Optical and Magnetic Materials,53
Electronic,53
Mechanical Engineering,52
Catalysis,50
Civil and Structural Engineering,48
Environmental Chemistry,48
Immunology and Allergy,48
Drug Discovery,46
Neurology (clinical),45
Pharmacology,44
Pharmaceutical Science,43
Information Systems,42
Dentistry (all),40
Hardware and Architecture,39
Medicine (all),37
Microbiology,36
Oncology,36
Industrial and Manufacturing Engineering,35
Microbiology (medical),35
Bioengineering,35
Health,35
Toxicology and Mutagenesis,35
Control and Optimization,35
Biotechnology,34
Software,34
Spectroscopy,33
Process Chemistry and Technology,32
Environmental Science (all),31
Reliability and Quality,29
Risk,29
Safety,29
Biomedical Engineering,28
Cancer Research,28
Food Science,28
Pediatrics,27
Building and Construction,27
Surfaces,27
Coatings and Films,27
Computer Science (all),27
Perinatology and Child Health,27
Chemistry (miscellaneous),27
Otorhinolaryngology,27
Surgery,27
Human-Computer Interaction,26
Computer Vision and Pattern Recognition,25
Plant Science,25
Aquatic Science,25
Veterinary (all),25
Radiology,25
Psychiatry and Mental Health,25
Nuclear Medicine and Imaging,25
Atomic and Molecular Physics,24
and Optics,24
Cardiology and Cardiovascular Medicine,23
Genetics,23
Hematology,23
Gastroenterology,22
Inorganic Chemistry,22
Cell Biology,21
Biomaterials,21
Endocrinology,21
Energy (all),21
Geotechnical Engineering and Engineering Geology,21
Orthopedics and Sports Medicine,20
Neurology,20
Pharmacology (medical),20
Ecology,20
Chemical Engineering (miscellaneous),20
Engineering (all),20
Epidemiology,18
Evolution,18
Behavior and Systematics,18
Automotive Engineering,18
Electrochemistry,18
Parasitology,17
Metals and Alloys,17
Physiology,16
Control and Systems Engineering,16
Hepatology,16
Management,15
Monitoring,15
Genetics and Molecular Biology (all),15
Strategy and Management,15
Policy and Law,15
Nephrology,15
Physical Therapy,15
Colloid and Surface Chemistry,15
Sports Therapy and Rehabilitation,15
Animal Science and Zoology,14
Biophysics,14
Clinical Biochemistry,14
Engineering (miscellaneous),14
Modeling and Simulation,14
Physics and Astronomy (all),14
Structural Biology,14
Virology,13
Surfaces and Interfaces,13
Signal Processing,13
Information Systems and Management,13
Geriatrics and Gerontology,12
Pathology and Forensic Medicine,12
Toxicology,12
Diabetes and Metabolism,11
Medicine (miscellaneous),11
Water Science and Technology,11
Critical Care and Intensive Care Medicine,11
Dermatology,11
Applied Mathematics,11
Obstetrics and Gynecology,11
Health (social science),11
Geography,10
Immunology and Microbiology (all),10
Planning and Development,10
Pulmonary and Respiratory Medicine,10
Applied Microbiology and Biotechnology,10
Nuclear Energy and Engineering,10
Soil Science,10
Physiology (medical),9
Oral Surgery,9
Computational Mathematics,9
Cognitive Neuroscience,9
Agronomy and Crop Science,9
Education,9
Nutrition and Dietetics,9
Genetics (clinical),9
Ceramics and Composites,9
Behavioral Neuroscience,8
Health Policy,8
Materials Science (miscellaneous),8
Biochemistry (medical),8
Energy (miscellaneous),8
Veterinary (miscellaneous),8
Cellular and Molecular Neuroscience,8
Health Informatics,7
Transportation,7
Architecture,7
Neuroscience (all),7
Clinical Psychology,7
Complementary and Alternative Medicine,7
Ophthalmology,7
Geology,7
Economics and Econometrics,7
Urology,6
Decision Sciences (miscellaneous),6
Nursing (all),6
Forestry,6
Histology,6
Transplantation,6
Neuropsychology and Physiological Psychology,6
Rehabilitation,6
Anesthesiology and Pain Medicine,5
Earth and Planetary Sciences (all),5
Biological Psychiatry,5
Theoretical Computer Science,5
Atmospheric Science,5
Insect Science,5
Filtration and Separation,5
Oceanography,5
Immunology and Microbiology (miscellaneous),5
Food Animals,4
Mathematical Physics,4
Aerospace Engineering,4
Media Technology,4
Computer Science (miscellaneous),4
Agricultural and Biological Sciences (all),4
Computer Graphics and Computer-Aided Design,3
Astronomy and Astrophysics,3
Space and Planetary Science,3
Advanced and Specialized Nursing,3
Health Information Management,3
