Category,Count
Agricultural and Biological Sciences,131
Biological Sciences,351
Business,16
Engineering,470
Environmental,176
Mathematics,74
Medical,1010
Other,260
Physics and Chemistry,464
Social Sciences,69
Technology and Computer Science,189
arts,12
coastal and ocean engineeringneering,6
decision sciences,20
earth sciences,46
energy,149
engineering,322
fluidex; related topics,649
genergyal,95
geobase; related topics,68
heat exchange,6
lubrication,7
mixing and separation,62
mycology,39
parasitology and virology,39
the atmosphere,7
