Category,Count
Agricultural and Biological Sciences,86
Biological Sciences,292
Business,12
Engineering,358
Environmental,118
Mathematics,80
Medical,828
Other,217
Physics and Chemistry,365
Social Sciences,50
Technology and Computer Science,274
arts,6
data handling and applications,8
decision sciences,49
earth sciences,44
energy,115
engineering,296
fluidex; related topics,577
genergyal,81
geobase; related topics,50
mixing and separation,48
mycology,33
parasitology and virology,33
