Category,Count
Agricultural and Biological Sciences,120
Biological Sciences,295
Business,17
Engineering,433
Environmental,190
Mathematics,76
Medical,853
Other,275
Physics and Chemistry,369
Social Sciences,59
Technology and Computer Science,208
arts,8
data handling and applications,7
decision sciences,46
earth sciences,56
energy,159
engineering,313
fluidex; related topics,695
genergyal,87
geobase; related topics,55
mixing and separation,57
mycology,35
parasitology and virology,35
