Subject Area,Count
Sociology and Political Science,2
Reproductive Medicine,2
Toxicology and Pharmaceutics (miscellaneous),2
Health Information Management,2
Aerospace Engineering,2
Global and Planetary Change,2
Geophysics,2
History and Philosophy of Science,2
Transplantation,2
Endocrine and Autonomic Systems,2
Organizational Behavior and Human Resource Management,2
Medical Laboratory Technology,2
Orthodontics,1
Medical and Surgical Nursing,1
Economics,1
Social Sciences (all),1
Econometrics and Finance (miscellaneous),1
Archeology (arts and humanities),1
Mathematics (miscellaneous),1
Leadership and Management,1
Archeology,1
Complementary and Manual Therapy,1
Immunology and Microbiology (miscellaneous),1
Nursing (all),1
Communication,1
Earth and Planetary Sciences (miscellaneous),1
Visual Arts and Performing Arts,1
Acoustics and Ultrasonics,1
Arts and Humanities (miscellaneous),1
Analysis,1
Development,1
Emergency Medicine,1
Human Factors and Ergonomics,1
Algebra and Number Theory,1
Stratigraphy,1
Economic Geology,1
Philosophy,1
Psychiatric Mental Health,1
Law,1
Library and Information Sciences,1
Dental Hygiene,1
Applied Psychology,1
Automotive Engineering,1
Forestry,1
Statistical and Nonlinear Physics,1
Cultural Studies,1
Nuclear and High Energy Physics,1
Earth-Surface Processes,1
